21.2228 	EXP 	grating: autoDraw = False
21.2228 	EXP 	grating: ori = 15.0
21.2228 	EXP 	fixation: autoDraw = True
21.5586 	DATA 	Keypress: right
21.7064 	EXP 	grating: autoDraw = True
21.7232 	EXP 	fixation: autoDraw = False
21.9753 	DATA 	Keypress: right
21.9896 	EXP 	fixation: autoDraw = False
21.9896 	EXP 	grating: autoDraw = False
21.9896 	EXP 	grating: ori = 15.0
21.9896 	EXP 	fixation: autoDraw = True
22.3089 	DATA 	Keypress: right
22.4898 	EXP 	fixation: autoDraw = False
22.4898 	EXP 	grating: autoDraw = True
22.6752 	DATA 	Keypress: right
22.7059 	EXP 	fixation: autoDraw = False
22.7059 	EXP 	grating: autoDraw = False
22.7059 	EXP 	grating: ori = -15.0
22.7059 	EXP 	fixation: autoDraw = True
23.0416 	DATA 	Keypress: right
23.2070 	EXP 	fixation: autoDraw = False
23.2070 	EXP 	grating: autoDraw = True
23.4129 	DATA 	Keypress: right
23.4225 	EXP 	fixation: autoDraw = False
23.4225 	EXP 	grating: autoDraw = False
23.4225 	EXP 	grating: ori = -16.0
23.4225 	EXP 	fixation: autoDraw = True
23.7415 	DATA 	Keypress: right
23.9222 	EXP 	fixation: autoDraw = False
23.9222 	EXP 	grating: autoDraw = True
24.0583 	DATA 	Keypress: right
24.0719 	EXP 	fixation: autoDraw = False
24.0719 	EXP 	grating: autoDraw = False
24.0719 	EXP 	grating: ori = 17.0
24.0719 	EXP 	fixation: autoDraw = True
24.4253 	DATA 	Keypress: right
24.5559 	EXP 	grating: autoDraw = True
24.5724 	EXP 	fixation: autoDraw = False
24.8557 	EXP 	grating: autoDraw = False
24.9088 	DATA 	Keypress: right
24.9217 	EXP 	fixation: autoDraw = False
24.9217 	EXP 	grating: autoDraw = False
24.9217 	EXP 	grating: ori = 17.0
24.9217 	EXP 	fixation: autoDraw = True
25.3415 	DATA 	Keypress: right
25.4225 	EXP 	fixation: autoDraw = False
25.4225 	EXP 	grating: autoDraw = True
25.6916 	DATA 	Keypress: right
25.7051 	EXP 	fixation: autoDraw = False
25.7051 	EXP 	grating: autoDraw = False
25.7051 	EXP 	grating: ori = 17.0
25.7051 	EXP 	fixation: autoDraw = True
26.1064 	DATA 	Keypress: right
26.2053 	EXP 	fixation: autoDraw = False
26.2053 	EXP 	grating: autoDraw = True
26.4903 	DATA 	Keypress: right
26.5044 	EXP 	grating: autoDraw = False
26.5044 	EXP 	fixation: autoDraw = False
26.5044 	EXP 	grating: autoDraw = False
26.5044 	EXP 	grating: ori = 16.0
26.5044 	EXP 	fixation: autoDraw = True
26.8403 	DATA 	Keypress: right
27.0047 	EXP 	fixation: autoDraw = False
27.0047 	EXP 	grating: autoDraw = True
27.2245 	DATA 	Keypress: right
27.2377 	EXP 	fixation: autoDraw = False
27.2377 	EXP 	grating: autoDraw = False
27.2377 	EXP 	grating: ori = -16.0
27.2377 	EXP 	fixation: autoDraw = True
27.6402 	DATA 	Keypress: right
27.7381 	EXP 	fixation: autoDraw = False
27.7381 	EXP 	grating: autoDraw = True
28.0406 	DATA 	Keypress: right
28.0538 	EXP 	grating: autoDraw = False
28.0538 	EXP 	fixation: autoDraw = False
28.0538 	EXP 	grating: autoDraw = False
28.0538 	EXP 	grating: ori = 16.5
28.0538 	EXP 	fixation: autoDraw = True
28.4401 	DATA 	Keypress: right
28.5551 	EXP 	fixation: autoDraw = False
28.5551 	EXP 	grating: autoDraw = True
28.8070 	DATA 	Keypress: right
28.8213 	EXP 	fixation: autoDraw = False
28.8213 	EXP 	grating: autoDraw = False
28.8213 	EXP 	grating: ori = -16.5
28.8213 	EXP 	fixation: autoDraw = True
29.1396 	DATA 	Keypress: right
29.3040 	EXP 	grating: autoDraw = True
29.3205 	EXP 	fixation: autoDraw = False
29.5404 	DATA 	Keypress: right
29.5541 	EXP 	fixation: autoDraw = False
29.5541 	EXP 	grating: autoDraw = False
29.5541 	EXP 	grating: ori = 17.0
29.5541 	EXP 	fixation: autoDraw = True
30.0222 	DATA 	Keypress: right
30.0538 	EXP 	fixation: autoDraw = False
30.0538 	EXP 	grating: autoDraw = True
30.3539 	EXP 	grating: autoDraw = False
30.5068 	DATA 	Keypress: right
30.5204 	EXP 	fixation: autoDraw = False
30.5204 	EXP 	grating: autoDraw = False
30.5204 	EXP 	grating: ori = -17.0
30.5204 	EXP 	fixation: autoDraw = True
30.8395 	DATA 	Keypress: right
31.0200 	EXP 	fixation: autoDraw = False
31.0200 	EXP 	grating: autoDraw = True
31.1725 	DATA 	Keypress: right
31.1861 	EXP 	fixation: autoDraw = False
31.1861 	EXP 	grating: autoDraw = False
31.1861 	EXP 	grating: ori = -17.5
31.1861 	EXP 	fixation: autoDraw = True
31.6698 	EXP 	grating: autoDraw = True
31.6863 	EXP 	fixation: autoDraw = False
31.8061 	DATA 	Keypress: right
31.8200 	EXP 	fixation: autoDraw = False
31.8200 	EXP 	grating: autoDraw = False
31.8200 	EXP 	grating: ori = -18.0
31.8200 	EXP 	fixation: autoDraw = True
32.1386 	DATA 	Keypress: right
32.3196 	EXP 	fixation: autoDraw = False
32.3196 	EXP 	grating: autoDraw = True
32.5227 	DATA 	Keypress: right
32.5359 	EXP 	fixation: autoDraw = False
32.5359 	EXP 	grating: autoDraw = False
32.5359 	EXP 	grating: ori = 18.5
32.5359 	EXP 	fixation: autoDraw = True
32.8384 	DATA 	Keypress: right
33.0358 	EXP 	fixation: autoDraw = False
33.0358 	EXP 	grating: autoDraw = True
33.1558 	DATA 	Keypress: right
33.1695 	EXP 	fixation: autoDraw = False
33.1695 	EXP 	grating: autoDraw = False
33.1695 	EXP 	grating: ori = -18.5
33.1695 	EXP 	fixation: autoDraw = True
33.5715 	DATA 	Keypress: right
33.6522 	EXP 	grating: autoDraw = True
33.6689 	EXP 	fixation: autoDraw = False
33.9060 	DATA 	Keypress: right
33.9195 	EXP 	fixation: autoDraw = False
33.9195 	EXP 	grating: autoDraw = False
33.9195 	EXP 	grating: ori = 19.0
33.9195 	EXP 	fixation: autoDraw = True
34.2539 	DATA 	Keypress: right
34.4186 	EXP 	fixation: autoDraw = False
34.4186 	EXP 	grating: autoDraw = True
34.6046 	DATA 	Keypress: right
34.6187 	EXP 	fixation: autoDraw = False
34.6187 	EXP 	grating: autoDraw = False
34.6187 	EXP 	grating: ori = 19.0
34.6187 	EXP 	fixation: autoDraw = True
34.9375 	DATA 	Keypress: right
35.1019 	EXP 	grating: autoDraw = True
35.1189 	EXP 	fixation: autoDraw = False
35.3203 	DATA 	Keypress: right
35.3346 	EXP 	fixation: autoDraw = False
35.3346 	EXP 	grating: autoDraw = False
35.3346 	EXP 	grating: ori = -19.0
35.3346 	EXP 	fixation: autoDraw = True
35.6539 	DATA 	Keypress: right
35.8183 	EXP 	grating: autoDraw = True
35.8357 	EXP 	fixation: autoDraw = False
35.9706 	DATA 	Keypress: right
36.0014 	EXP 	fixation: autoDraw = False
36.0014 	EXP 	grating: autoDraw = False
36.0014 	EXP 	grating: ori = 19.5
36.0014 	EXP 	fixation: autoDraw = True
36.3202 	DATA 	Keypress: right
36.4848 	EXP 	grating: autoDraw = True
36.5015 	EXP 	fixation: autoDraw = False
36.6710 	DATA 	Keypress: right
36.6848 	EXP 	fixation: autoDraw = False
36.6848 	EXP 	grating: autoDraw = False
36.6848 	EXP 	grating: ori = 19.5
36.6848 	EXP 	fixation: autoDraw = True
37.1853 	EXP 	fixation: autoDraw = False
37.1853 	EXP 	grating: autoDraw = True
