mouse.time,,num.dis,,,,
2.8773014,,5,,,,
1.1400037,,5,,,,
1.9048759,,5,,,,
1.7670265,,5,,,,
0.7228384,,5,,,,0.73508452
0.5617909,,5,,,,1.044548068
0.5220199,,5,,,,
0.520037,,5,,,,
0.4078831,,5,,,,
0.4803198,,5,,,,
0.4241137,,5,,,,
0.3627258,,5,,,,
0.4290284,,5,,,,
0.3666021,,5,,,,
0.4037837,,5,,,,
0.3590049,,5,,,,
0.3453139,,5,,,,
0.3329756,,5,,,,
0.343125,,5,,,,
0.5484104,,5,,,,
0.5636317,,5,,,,
2.6689568,,5,,,,
3.3306865,,5,,,,
1.8258713,,5,,,,
2.8753656,,5,,,,
1.0202887,,5,,,,
0.4144143,,5,,,,
0.3271504,,5,,,,
0.3905883,,5,,,,
0.3759843,,5,,,,
0.4476086,,5,,,,
0.3979138,,5,,,,
0.389524,,5,,,,
0.3946383,,5,,,,
0.3979838,,5,,,,
0.353545,,5,,,,
0.3905171,,5,,,,
0.3792879,,5,,,,
0.3952887,,5,,,,
0.3426298,,5,,,,
0.4023435,,5,,,,
0.3734262,,5,,,,
0.3426406,,5,,,,
0.3670764,,5,,,,
0.3247633,,5,,,,
0.2918847,,5,,,,
0.3477298,,5,,,,
0.3850727,,5,,,,
0.2783158,,5,,,,
0.3639215,,5,,,,
0.6055132,,5,,,,
0.6083994,,5,,,,
0.253504,,5,,,,
0.7317006,,5,,,,
0.4620068,,5,,,,
0.3826878,,5,,,,
0.3810601,,5,,,,
0.3399961,,5,,,,
0.3250514,,5,,,,
0.323972,,5,,,,
0.6204415,,5,,,,
0.314159,,5,,,,
0.38683,,5,,,,
0.3074533,,5,,,,
0.3737467,,5,,,,
0.3166432,,5,,,,
0.3845949,,5,,,,
0.8730747,,5,,,,
0.3416008,,5,,,,
4.0293326,,5,,,,
2.3603346,,5,,,,
2.0763124,,5,,,,
1.557908,,5,,,,
0.0628554,,5,,,,
0.2214888,,5,,,,
0.3884639,,5,,,,
0.9009449,,5,,,,
0.4597401,,5,,,,
0.2654643,,5,,,,
0.2945822,,5,,,,
0.5442384,,5,,,,
0.3298163,,5,,,,
0.9371243,,5,,,,
2.7043968,,5,,,,
1.7856339,,5,,,,
2.0733294,,5,,,,
2.3761708,,5,,,,
0.979846,,5,,,,
0.3947883,,5,,,,
0.3453081,,5,,,,
0.3436782,,5,,,,
0.3735999,,5,,,,
0.3408407,,5,,,,
0.3926294,,5,,,,
0.3786171,,5,,,,
0.358015,,5,,,,
0.3773051,,5,,,,
0.3464196,,5,,,,
0.463518,,5,,,,
0.9715436,,10,,,,
0.42963,,10,,,,
0.1414023,,10,,,,
0.6945039,,10,,,,
0.3773304,,10,,,,
0.4265884,,10,,,,
4.5132978,,10,,,,
1.4860479,,10,,,,
1.4878561,,10,,,,
2.0569034,,10,,,,
0.3159803,,10,,,,
1.0944596,,10,,,,
0.6340681,,10,,,,
0.5764014,,10,,,,
0.2623787,,10,,,,
0.3136906,,10,,,,
0.2586591,,10,,,,
0.2819813,,10,,,,
0.3258784,,10,,,,
0.1857089,,10,,,,
0.287417,,10,,,,
0.2701143,,10,,,,
0.2725471,,10,,,,
0.5337039,,10,,,,
0.3000571,,10,,,,
0.2939575,,10,,,,
0.5798176,,10,,,,
0.2629866,,10,,,,
0.2960298,,10,,,,
0.8608126,,10,,,,
0.5801661,,10,,,,
0.3913181,,10,,,,
0.552025,,10,,,,
3.810786,,10,,,,
1.7064665,,10,,,,
2.192543,,10,,,,
1.8856967,,10,,,,
1.1637029,,10,,,,
3.2254537,,10,,,,
2.6827951,,10,,,,
1.4786634,,10,,,,
2.0902721,,10,,,,
1.9655214,,10,,,,
0.7362005,,10,,,,
0.3713873,,10,,,,
0.2623188,,10,,,,
0.2802611,,10,,,,
0.8163127,,10,,,,
0.3268223,,10,,,,
0.301088,,10,,,,
0.2661702,,10,,,,
8.5753514,,10,,,,
1.9107878,,10,,,,
1.1951796,,10,,,,
0.3541571,,10,,,,
0.8084422,,10,,,,
1.9620727,,10,,,,
1.4801076,,10,,,,
3.0443001,,10,,,,
0.4282308,,10,,,,
1.318648,,10,,,,
0.2853196,,10,,,,
2.8208275,,10,,,,
0.4033283,,10,,,,
0.3390679,,10,,,,
0.3459747,,10,,,,
2.3624432,,10,,,,
0.4244115,,10,,,,
0.4022541,,10,,,,
0.3460586,,10,,,,
0.5305428,,10,,,,
1.7555659,,10,,,,
0.3975335,,10,,,,
0.3788641,,10,,,,
0.3123087,,10,,,,
0.2306319,,10,,,,
0.4841192,,10,,,,
1.858797,,10,,,,
0.3133942,,10,,,,
0.3644565,,10,,,,
0.210876,,10,,,,
0.2458513,,10,,,,
1.1536369,,10,,,,
0.3979414,,10,,,,
0.6287193,,10,,,,
3.5387778,,10,,,,
1.7989016,,10,,,,
0.6336441,,10,,,,
0.3281057,,10,,,,
0.2735079,,10,,,,
1.85955,,10,,,,
1.613202,,10,,,,
1.4113949,,10,,,,
0.910251,,10,,,,
0.2914761,,10,,,,
2.0144126,,10,,,,
0.4104762,,10,,,,
0.3099926,,10,,,,
1.3884403,,10,,,,
0.5287001,,10,,,,
2.240596,,10,,,,
,,,,,,
0.891363612,,,,,,
